LocalTime;T;Po;P;Pa;U;DD
19.10.2020 09:00;19.9;761.2;762.5;0;69;Ветер
19.10.2020 06:00;18.6;761.2;762.5;0;83;Ветер
19.10.2020 03:00;20.2;761.2;762.5;1.2;87;Ветер
19.10.2020 00:00;19;760;761.3;-0.3;68;Ветер
18.10.2020 21:00;18.2;760.3;761.6;0.6;82;Ветер
18.10.2020 18:00;21;759.7;760.9;0;82;Ветер
18.10.2020 15:00;24;759.7;760.9;-0.7;59;Ветер
18.10.2020 12:00;24.8;760.4;761.7;0.1;50;Ветер
18.10.2020 09:00;20;760.3;761.6;0.6;43;Ветер
18.10.2020 06:00;16;759.7;761;0.6;52;Ветер
18.10.2020 03:00;16.4;759.1;760.5;0.1;53;Ветер
18.10.2020 00:00;16.8;759;760.3;-0.5;66;Ветер
17.10.2020 21:00;16.5;759.5;760.9;0.5;93;Штиль
17.10.2020 18:00;21.2;759;760.3;-0.5;82;Ветер
17.10.2020 15:00;24.4;759.5;760.8;-1.1;65;Ветер
17.10.2020 12:00;22.8;760.6;761.9;-0.6;73;Ветер
17.10.2020 09:00;19.2;761.2;762.5;0.3;55;Ветер
17.10.2020 06:00;14.1;760.9;762.3;0;88;Ветер
17.10.2020 03:00;14.6;760.9;762.3;-0.1;93;Ветер
17.10.2020 00:00;15.8;761;762.4;0.3;91;Ветер
16.10.2020 21:00;17.4;760.7;762.1;0.4;86;Ветер
16.10.2020 18:00;21.2;760.3;761.6;-0.5;85;Ветер
16.10.2020 15:00;23.1;760.8;762.1;-0.9;72;Ветер
16.10.2020 12:00;23.9;761.7;763;-0.7;63;Ветер
16.10.2020 09:00;20.5;762.4;763.7;0.3;69;Ветер
16.10.2020 06:00;16.2;762.1;763.5;-0.4;87;Ветер
16.10.2020 03:00;17.1;762.5;763.9;-0.7;93;Ветер
16.10.2020 00:00;18.2;763.2;764.5;0.1;96;Ветер
15.10.2020 21:00;21.2;763.1;764.4;-0.2;87;Ветер
15.10.2020 18:00;22;763.3;764.6;-0.3;84;Ветер
15.10.2020 15:00;23.5;763.6;764.8;-0.6;79;Ветер
15.10.2020 12:00;23.8;764.2;765.4;-0.1;75;Ветер
15.10.2020 09:00;20;764.3;765.7;1;60;Ветер
15.10.2020 06:00;16.3;763.3;764.7;0.6;72;Ветер
15.10.2020 03:00;16.6;762.7;764;1.5;72;Ветер
15.10.2020 00:00;17.7;761.2;762.6;0.8;72;Ветер
14.10.2020 21:00;17.8;760.4;761.8;1.2;77;Ветер
14.10.2020 18:00;22.4;759.2;760.5;-0.2;68;Штиль
14.10.2020 15:00;25.6;759.4;760.7;0;44;Ветер
14.10.2020 12:00;27.9;759.4;760.7;0.1;39;Ветер
14.10.2020 09:00;21.2;759.3;760.6;0.8;43;Ветер
14.10.2020 06:00;16.7;758.5;759.8;0.6;55;Ветер
14.10.2020 03:00;18.4;757.9;759.3;0.9;49;Ветер
14.10.2020 00:00;21.2;757;758.3;0;40;Ветер
13.10.2020 21:00;19.4;757;758.3;0.3;57;Ветер
13.10.2020 18:00;21.4;756.7;758;-0.4;79;Ветер
13.10.2020 15:00;25;757.1;758.4;-1.3;56;Ветер
13.10.2020 12:00;25.3;758.4;759.7;-0.9;49;Ветер
13.10.2020 09:00;20.8;759.3;760.6;0.2;48;Ветер
13.10.2020 06:00;14.5;759.1;760.5;-0.6;71;Ветер
13.10.2020 03:00;13.7;759.7;761;-0.5;88;Ветер
13.10.2020 00:00;16.1;760.2;761.5;-0.1;78;Ветер
12.10.2020 21:00;16.6;760.3;761.7;0.3;83;Ветер
12.10.2020 18:00;20.4;760;761.4;-1.1;76;Ветер
12.10.2020 15:00;23;761.1;762.4;-1;56;Ветер
12.10.2020 12:00;23.2;762.1;763.4;-0.7;53;Ветер
12.10.2020 09:00;18.8;762.8;764.2;0.2;59;Ветер
12.10.2020 06:00;14;762.6;763.9;-0.1;80;Ветер
12.10.2020 03:00;15.6;762.7;764;0.1;72;Ветер
12.10.2020 00:00;15.7;762.6;763.9;0.3;74;Ветер
11.10.2020 21:00;16.1;762.3;763.6;0.5;76;Ветер
11.10.2020 18:00;21;761.8;763.2;0;62;Штиль
11.10.2020 15:00;23.8;761.8;763.1;-0.4;55;Ветер
11.10.2020 12:00;23.4;762.2;763.5;0.4;70;Ветер
11.10.2020 09:00;22.5;761.8;763;1.1;67;Ветер
11.10.2020 06:00;16.6;760.7;762.1;0;65;Ветер
11.10.2020 03:00;16.7;760.7;762.1;-0.2;71;Ветер
11.10.2020 00:00;19.1;760.9;762.2;0;59;Ветер
10.10.2020 21:00;17.6;760.9;762.2;0.6;74;Ветер
10.10.2020 18:00;21.9;760.3;761.6;-0.3;69;Ветер
